id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Xavier;Dach;Constantin11@gmail.com;vice whenever ew;2025-05-28T13:21:34;24;19078
2;Pete;Mayer;Lillie98@yahoo.com;yeast than nervously;2025-05-29T02:59:17;11564;24940
3;Lindsey;Schmidt;Callie.Lang67@hotmail.com;firm;2025-05-28T09:23:46;11607;22179
4;Myrtice;Schuppe;Katelin_Cremin67@gmail.com;through;2025-05-29T04:33:45;22716;7929
5;Monserrat;Marquardt;Travon_Schoen48@yahoo.com;flat;2025-05-28T21:39:50;26118;8646
6;Virginia;Mueller;Coty59@yahoo.com;upbeat;2025-05-28T13:14:05;9755;3680
7;Frederick;Boyer;Frederic_Smitham@hotmail.com;rapidly;2025-05-28T15:52:38;525;2751
8;Alessandro;Denesik;Zoey_Larkin@gmail.com;uproot;2025-05-28T20:05:35;10375;8060
9;Christine;Hammes;Maximilian_Effertz@yahoo.com;untried;2025-05-28T14:23:28;17950;31891
10;Regan;Kovacek;Gilbert.Dietrich@yahoo.com;oh;2025-05-28T21:33:35;6329;3783
